,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
45,Whiplash,(2014),106 min,8.5,89        ,"927,782",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
46,Léon,(1994),110 min,8.5,64        ,"1,205,991",$19.50M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
47,The Usual Suspects,(1995),106 min,8.5,77        ,"1,116,466",$23.34M,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.
48,The Pianist,(2002),150 min,8.5,85        ,"874,317",$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
49,The Lion King,(1994),88 min,8.5,88        ,"1,102,369",$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
50,American History X,(1998),119 min,8.5,62        ,"1,155,794",$6.72M,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his footsteps."
51,Psycho,(1960),109 min,8.5,97        ,"696,723",$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
52,The Intouchables,(2011),112 min,8.5,57        ,"895,244",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
53,Casablanca,(1942),102 min,8.5,100        ,"590,568",$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
54,Hotaru no haka,(1988),89 min,8.5,94        ,"294,232",#45,A young boy and his little sister struggle to survive in Japan during World War II.
55,Once Upon a Time in the West,(1968),165 min,8.5,82        ,"340,929",$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
56,Rear Window,(1954),112 min,8.5,100        ,"507,749",$36.76M,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
57,Nuovo Cinema Paradiso,(1988),155 min,8.5,80        ,"272,922",$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
58,Modern Times,(1936),87 min,8.5,96        ,"251,781",$0.16M,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
59,City Lights,(1931),87 min,8.5,99        ,"190,920",$0.02M,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
60,96,(II) (2018),158 min,8.5,****,"33,908",%^%^%^,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
61,Oldeuboi,(2003),101 min,8.4,78        ,"608,152",$0.71M,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days."
62,Spider-Man: Into the Spider-Verse,(2018),117 min,8.4,87        ,"625,337",$190.24M,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
63,Avengers: Endgame,(2019),181 min,8.4,78        ,"1,209,631",$858.37M,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
64,The Dark Knight Rises,(2012),164 min,8.4,78        ,"1,771,201",$448.14M,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
65,Joker,(I) (2019),122 min,8.4,59        ,"1,393,895",$335.45M,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution."
66,Memento,(2000),113 min,8.4,83        ,"1,283,742",$25.54M,A man with short-term memory loss attempts to track down his wife's murderer.
67,The Shining,(1980),146 min,8.4,66        ,"1,066,189",$44.02M,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future."
68,Aliens,(1986),137 min,8.4,84        ,"741,421",$85.16M,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
69,Raiders of the Lost Ark,(1981),115 min,8.4,85        ,"1,010,527",$248.16M,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers."
70,Apocalypse Now,(1979),147 min,8.4,94        ,"690,290",$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
71,Avengers: Infinity War,(2018),149 min,8.4,68        ,"1,150,897",$678.82M,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
72,Idi i smotri,(1985),142 min,8.4,****,"89,296",#91,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
73,Amadeus,(1984),160 min,8.4,87        ,"415,540",$51.97M,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
74,Coco,(I) (2017),105 min,8.4,81        ,"551,362",$209.73M,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
75,Kimi no na wa.,(2016),106 min,8.4,81        ,"297,138",$5.02M,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
76,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),95 min,8.4,97        ,"505,705",$0.28M,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
77,WALL·E,(2008),98 min,8.4,95        ,"1,160,885",$223.81M,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
78,The Lives of Others,(2006),137 min,8.4,89        ,"400,516",$11.29M,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
79,3 Idiots,(2009),170 min,8.4,67        ,"416,944",$6.53M,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
80,Capharnaüm,(2018),126 min,8.4,75        ,"98,446",$1.66M,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
81,Das Boot,(1981),149 min,8.4,86        ,"258,292",$11.49M,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
82,Sunset Blvd.,(1950),110 min,8.4,94        ,"229,853",#61,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
83,Paths of Glory,(1957),88 min,8.4,90        ,"205,416",#62,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
84,Witness for the Prosecution,(1957),116 min,8.4,76        ,"131,968",$8.18M,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
85,The Great Dictator,(1940),125 min,8.4,****,"231,393",$0.29M,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
86,Tengoku to jigoku,(1963),143 min,8.4,90        ,"49,389",#86,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
87,Sardar Udham,(2021),164 min,8.4,****,"44,988",%^%^%^,"A biopic detailing the 2 decades that Punjabi Sikh revolutionary, Udham Singh, spent planning the assassination of the man responsible for the Jallianwala Bagh massacre."
88,Kaithi,(2019),145 min,8.4,****,"37,353",%^%^%^,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
89,Asuran,(2019),141 min,8.4,****,"31,841",%^%^%^,"The teenage son of a farmer from an underprivileged caste kills a rich, upper caste landlord. How the pacifist farmer saves his hot-blooded son is the rest of the story."
90,Drishyam 2,(2021),152 min,8.4,****,"39,539",%^%^%^,A gripping tale of an investigation and a family which is threatened by it. Will Georgekutty be able to protect his family this time?
91,Top Gun: Maverick,(2022),130 min,8.3,78        ,"625,852",$718.73M,"After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it."
92,Heat,(1995),170 min,8.3,76        ,"690,223",$67.44M,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.
93,Inglourious Basterds,(2009),153 min,8.3,69        ,"1,519,656",$120.54M,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
94,American Beauty,(1999),122 min,8.3,84        ,"1,183,839",$130.10M,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
95,2001: A Space Odyssey,(1968),149 min,8.3,84        ,"695,898",$56.95M,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000."
96,Requiem for a Dream,(2000),102 min,8.3,71        ,"872,590",$3.64M,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
97,Good Will Hunting,(1997),126 min,8.3,70        ,"1,019,937",$138.43M,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
98,Eternal Sunshine of the Spotless Mind,(2004),108 min,8.3,89        ,"1,043,968",$34.40M,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
99,Full Metal Jacket,(1987),116 min,8.3,78        ,"768,346",$46.36M,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.
100,Scarface,(1983),170 min,8.3,65        ,"881,664",$45.60M,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed."
101,A Clockwork Orange,(1971),136 min,8.3,77        ,"857,839",$6.21M,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned."
102,Braveheart,(1995),178 min,8.3,68        ,"1,066,266",$75.60M,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
103,Reservoir Dogs,(1992),99 min,8.3,81        ,"1,056,786",$2.83M,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant."
104,Once Upon a Time in America,(1984),229 min,8.3,75        ,"365,616",$5.32M,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life."
